datetime,MA 5/20 (QQQ),TopkDropout,SoftTopk,LightGBM rotation,QQQ buy and hold
2019-02-14,1.0682166349571962,1.0132467809796883,1.0999084495068179,1.100445122047828,1.1055007443067904
2019-02-15,1.0725023563451033,1.0195929154169336,1.1043003977018162,1.1048711089937615,1.1101494939867638
2019-02-19,1.0745261439932479,1.023540519386838,1.106373631708233,1.1069611323296937,1.1123447521042311
2019-02-20,1.0743475798375952,1.0232443869681345,1.1061907228114476,1.1067767240235074,1.112151087134972
2019-02-21,1.0705975509166459,1.0213103617594872,1.102351266539825,1.1029039619961325,1.1080833724938857
2019-02-22,1.0781570998683885,1.0224308698128972,1.11009165654973,1.110710924220034,1.1162832291841651
2019-02-25,1.0819071287893376,1.017612446195237,1.1139334102196996,1.1145836862474092,1.120350953620651
2019-02-26,1.0829785137232535,1.014305622438575,1.11503055577924,1.1156901360845264,1.1215131600318229
2019-02-27,1.0823237482104868,1.017187490231988,1.1143603417834844,1.1150139410289328,1.12080290647573
2019-02-28,1.079942832251037,1.013213622963894,1.1119232506911363,1.1125551010806283,1.1182202896958398
2019-03-01,1.0870856709555086,1.0119751551866298,1.1192343737775194,1.119931714724274,1.1259682161572968
2019-03-04,1.0872642351111612,1.0173521527678029,1.1194189378816293,1.1201161230304604,1.1261619040893012
2019-03-05,1.0880380736697373,1.0163856682226735,1.1202103557005867,1.1209152882230884,1.1270012285903823
2019-03-06,1.0821451840548344,1.0163595234054918,1.1141813315633344,1.1148295327227467,1.1206091711174533
2019-03-07,1.0694665840467654,1.0059683371139732,1.1012043759867496,1.1017359801911313,1.1068565874643863
2019-03-08,1.0679189977557348,0.9943145304942668,1.0996304699759225,1.1001377436046067,1.1051778842833562
2019-03-11,1.0891094586036532,1.0090325909105384,1.1213304821681096,1.1220217380602064,1.1281633384563703
2019-03-12,1.0948237840629036,1.0105978545672782,1.12717754875077,1.127923085254362,1.1343617351517596
2019-03-13,1.1026808793899856,1.0118666468384487,1.1352137187506681,1.1360373321227533,1.1428843825752584
2019-03-14,1.1008952378334593,1.0115561217885634,1.1333879428080478,1.1341932490608901,1.1409474919940223
2019-03-15,1.1106571385889985,1.0157413732474785,1.143367847096835,1.1442746429269102,1.1515362624010694
2019-03-18,1.1112523221658,1.0126105602161717,1.14397562944086,1.1448893060146206,1.1521818611752728
2019-03-19,1.1148237869310968,1.010950692987762,1.1476259868575145,1.1485776597358093,1.1560558399563112
2019-03-20,1.1190499263830387,1.0100430156082654,1.1519442069021555,1.1529421147138597,1.1606400381284403
