datetime,MA 5/20 (BTC),TopkDropout,SoftTopk,LightGBM rotation,EnhancedIndexing,BTC buy and hold,Crypto basket buy and hold
2019-01-16,0.9476339544846286,0.8005350107789854,0.8064853148204622,0.7673397734469748,0.834111252430668,0.9434438315149379,0.94569516
2019-01-17,0.9476339544846286,0.803670524861516,0.8095300677565979,0.7798401182173169,0.8383823688100294,0.9515303406151076,0.9576707
2019-01-18,0.9476339544846286,0.7910567105055784,0.7972278604846839,0.7626021781836014,0.8234828242439797,0.942957716735537,0.9656258
2019-01-19,0.9476339544846286,0.8148365776880784,0.820430319403946,0.7618787547029612,0.846631504837708,0.9625076083530132,0.9469582
2019-01-20,0.9476339544846286,0.7790780460659155,0.7855402673545859,0.7322094605071974,0.810179356454728,0.9242284444230849,0.97275233
2019-01-21,0.9476339544846286,0.7812570680123727,0.787628434144321,0.7313390065200411,0.8115022532189161,0.9230705983629945,0.9270823
2019-01-22,0.9476339544846286,0.7943561877006361,0.800397643655296,0.7402342835121832,0.8259566432640265,0.9349024977781277,0.92485374
2019-01-23,0.9476339544846286,0.7933321661793802,0.799313241972158,0.7355144992200726,0.8256324308567189,0.9286245720841577,0.9474404
2019-01-24,0.9476339544846286,0.805982996514544,0.8114457405152865,0.7386505321794758,0.8359653465988184,0.9327958842375809,0.95066893
2019-01-25,0.9476339544846286,0.808541923425661,0.8137920312393958,0.7379492518002145,0.8371087699207076,0.9310186076479764,0.95356095
2019-01-26,0.9476339544846286,0.8067634213784574,0.8120655291417608,0.7360477201588814,0.8351227435358681,0.9294243482917686,0.9495355
2019-01-27,0.9476339544846286,0.7963036959077298,0.8020367945556662,0.7311177527693651,0.8231248242858425,0.922877190099461,0.9463031
2019-01-28,0.9476339544846286,0.7722704984143028,0.7785993394601565,0.7112266881057114,0.7962151300536779,0.8964612501733169,0.92506695
2019-01-29,0.9476339544846286,0.7654322822826742,0.7718895396036153,0.704824625390626,0.788799737713497,0.8879591110374896,0.88159573
2019-01-30,0.9476339544846286,0.7802573485745172,0.7862135707773158,0.7127224230585466,0.805776195349414,0.8984476588962357,0.8707463
2019-01-31,0.9476339544846286,0.7738513076394464,0.7799597760170199,0.7075956509672371,0.7982719670848532,0.8916391552145516,0.89962965
2019-02-01,0.9476339544846286,0.7908393740608509,0.7961550030311706,0.7127125732138523,0.8137509487848662,0.8984345942756183,0.88657635
2019-02-02,0.9476339544846286,0.8169187658863365,0.8206472865903544,0.7120360570514392,0.8393862423485361,0.9065185272405786,0.90008545
2019-02-03,0.9476339544846286,0.794742134472593,0.799705809835527,0.6963653095193636,0.8180091356577113,0.892496443390509,0.93365395
2019-02-04,0.9476339544846286,0.8038970246559621,0.8080082160361813,0.6965344542083999,0.8257195306787546,0.8911347614844367,0.9081713
2019-02-05,0.9476339544846286,0.8097926977848067,0.813639250540009,0.6889809160064494,0.8304367437263566,0.8960561501218947,0.9145385
2019-02-06,0.9476339544846286,0.7846930441106699,0.7899835000577105,0.6743812306631256,0.8067746538085305,0.8801026357684996,0.9160307
2019-02-07,0.9476339544846286,0.788599691858948,0.7934303476900005,0.678101596697823,0.810109072967598,0.8779175941568481,0.8897544
2019-02-08,0.9476339544846286,0.9387559322158557,0.9341114961622157,0.7557224514508006,0.9497299251091231,0.9466534129688299,0.8934777
2019-02-09,0.9476339544846286,0.9551727920423697,0.9462409320442371,0.755733709872686,0.9626700035625018,0.9471081979884975,1.0444025
2019-02-10,0.9476339544846286,0.9814538537524018,0.9663222210379234,0.7923665351287268,0.9842786743150523,0.9536710872464859,1.0566531
